ISBN	        书名	             		定价
9787302225065	数据结构与算法			49
9787302210773 	大学物理       		        32
9787302503980 	自动控制原理			47
9787811234923 	汇编语言程序设计教程		21
9787512101032 	物联网技术			27
9787302265436 	计算机导论实验指导		18
9787302180630 	实用数据结构			29
9787302233517 	信号与系统       		38
9787302731656 	人工智能技术      		39
9787302250692 	C语言程序设计			42
9787302150664 	数据库原理			35
9787302030175 	预测控制			56
9787302252887 	Java程序设计与应用教程		39
9787302198505 	嵌入式操作系统及编程		25
9787302169766 	电工技术			24
9787810231351 	图像处理         		35
